

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  MIN  AVG  FGM-FGA   PCT  3PM-3PA   PCT   FTM-FTA   PCT
Chris Porter      8.64  17.28   0.00   0.96   8.64  10.56  25.92
Terry Porter      6.20  14.79   2.48   6.02   3.63   4.43  18.51
James Posey       6.71  15.36   1.93   5.33   3.31   3.95  18.67
Lavor Postell     7.20  19.20   0.00   0.00  12.00  14.40  26.40
V. Potapenko      8.33  15.50   0.00   0.00   4.00   5.33  20.67
Brent Price       6.47  13.75   4.04   7.55   1.35   1.62  18.34
Mark Price        8.31  15.69   4.62   9.23   3.69   4.15  24.92
Tayshaun Prince   7.13  12.36   2.38   4.28   1.43   1.90  18.06
Laron Profit      8.35  20.87   2.09   4.17   0.00   0.00  18.78
Joel Przybilla    5.33  10.67   0.00   0.00   0.00   0.00  10.67
Dino Radja       11.11  19.83   0.00   0.00   4.76   5.95  26.98
V. Radmanovic     5.65  15.66   2.31   6.16   1.28   2.57  14.89
Igor Rakocevic    2.09   6.26   2.09   6.26   8.35   8.35  14.61
Zach Randolph    10.33  17.42   0.00   0.20   6.28   8.30  26.94
Theo Ratliff      7.45  12.32   0.00   0.00   3.58   5.16  18.48
Zeljko Rebraca    9.04  16.00   0.00   0.00   1.39   1.39  19.48
E. Recasner       5.92  12.47   3.12   7.17   1.25   1.25  16.21
Michael Redd      9.31  18.12   4.65   7.84   1.96   2.20  25.22
Bryant Reeves     7.70  17.89   0.00   0.16   3.19   4.43  18.59
Khalid Reeves     6.55  17.45   3.64  10.18   4.36   4.36  21.09
Don Reid          6.38  10.41   0.00   0.00   3.02   5.37  15.78
J.R. Reid         7.71  14.36   0.00   0.00   4.91   7.01  20.32
E. Rentzias       9.60  19.20   0.00   0.00   0.00   0.00  19.20
Shawn Respert     6.51  16.27   2.44   6.51   2.44   2.44  17.90
Rodrick Rhodes    3.43  17.14   0.00   0.98   5.88   8.33  12.73
Glen Rice         8.20  18.46   1.99   6.13   4.14   4.87  22.52
J. Richardson     9.74  22.06   2.35   6.57   2.70   3.99  24.53
N. Richardson     0.00  48.00   0.00   0.00   0.00   0.00   0.00
Pooh Richardson   7.28  16.06   2.43   6.35   0.56   0.75  17.56
Q. Richardson     9.13  22.16   2.84   8.30   2.73   3.79  23.82
Mitch Richmond    9.24  20.62   2.40   6.31   7.02   7.91  27.91
Isaiah Rider     11.39  23.96   2.31   5.73   3.65   4.54  28.73
Luke Ridnour      8.73  13.82   0.73   1.45   0.00   0.00  18.18
Eric Riley        2.29   9.14   0.00   2.29   0.00   0.00   4.57
Doc Rivers        5.33  13.71   3.81   6.86   0.00   0.00  14.48
Fred Roberts     10.67  18.67   0.00   0.00   2.67   2.67  24.00
Stanley Roberts   8.96  20.24   0.00   0.00   5.20   9.54  23.13
Alvin Robertson   7.20  13.60   0.00   0.80   3.20   4.00  17.60
C. Robinson       8.57  18.76   2.04   5.28   3.83   5.07  23.00
Chris Robinson    8.69  15.09   3.20   6.86   0.46   1.37  21.03
David Robinson    9.94  17.78   0.06   0.12   8.26  11.49  28.19
Eddie Robinson    6.67  16.44   0.00   0.00   1.33   1.78  14.67
Glenn Robinson    9.97  23.12   1.26   4.27   2.93   3.85  24.13
James Robinson    9.08  19.14   3.08   8.59   1.62   2.76  22.86
Larry Robinson    0.00   0.00   0.00   0.00   0.00   0.00   0.00
Rumeal Robinson   4.74  13.04   1.19   5.33   1.78   4.15  12.44
Dennis Rodman     1.22   7.35   0.00   0.49   3.18   4.90   5.63
Lou Roe           0.00   0.00   0.00   0.00   0.00   0.00   0.00
Carlos Rogers     7.22  14.08   0.36   0.72   0.36   1.44  15.16
Rodney Rogers     7.41  17.37   0.87   3.68   3.14   4.49  18.83
Roy Rogers        8.17  12.26   0.00   0.00   0.51   1.02  16.85
Sean Rooks        5.31  12.46   0.00   0.17   2.99   3.82  13.62
Jalen Rose        9.49  19.07   1.38   3.87   5.34   6.36  25.70
Malik Rose        7.16  16.00   0.00   0.20   7.85  10.24  22.16
Donald Royal      2.40   7.20   0.00   0.00   4.80   4.80   9.60
Clifford Rozier   5.43   8.15   0.00   0.00   1.81   3.62  12.68
Michael Ruffin    3.03   8.08   0.00   0.00   1.52   3.03   7.58
Trevor Ruffin    10.67  18.67   5.33   9.33   1.33   4.00  28.00
Kareem Rush       8.47  20.71   1.41   6.12   1.41   2.82  19.76
Bryon Russell     5.57  13.50   1.68   4.88   3.15   4.36  15.96
Arvydas Sabonis  11.40  19.07   0.88   1.75   5.26   7.12  28.93
John Salley       0.00   0.00   0.00   0.00   0.00   0.00   0.00
John Salmons      5.58  11.72   2.79   4.47   2.23   2.79  16.19
Kevin Salvadori   0.00   8.00   0.00   0.00   0.00   0.00   0.00
Soumalia Samake  16.00  21.33   0.00   0.00   0.00   0.00  32.00
Pepe Sanchez      5.33  16.00   0.00   5.33   0.00   0.00  10.67
Daniel Santiago   6.26   6.26   0.00   0.00   6.26   8.35  18.78
Jason Sasser      0.00  16.00   0.00   0.00   0.00   0.00   0.00
Jeryl Sasser      1.33   6.67   0.00   0.00   1.33   2.67   4.00
K. Satterfield    3.69  11.08   0.00   0.00   3.69   7.38  11.08
Predrag Savovic  10.67  26.67   0.00   5.33   5.33   5.33  26.67
B. Scalabrine     6.40  14.40   0.00   1.60   3.20   3.20  16.00
Danny Schayes     3.65   9.11   0.00   0.00   1.22   2.43   8.51
Steve Scheffler  24.00  24.00   0.00   0.00   0.00   0.00  48.00
Detlef Schrempf   7.76  16.96   1.05   3.16   5.27   6.42  21.84
Brent Scott       6.86   6.86   0.00   0.00   0.00   0.00  13.71
Byron Scott       6.53  14.32   2.26   4.27   4.02   5.03  19.35
Dennis Scott      6.31  14.78   2.66   6.48   3.65   4.15  18.93
James Scott       0.00  12.00   0.00  12.00   0.00   0.00   0.00
Malik Sealy       8.75  18.74   0.96   3.01   3.15   4.10  21.61
Rony Seikaly      8.92  18.77   0.00   0.31   5.85   7.38  23.69
Ansu Sesay        8.37  17.61   0.00   1.32   1.76   3.52  18.50
Brian Shaw        5.41  12.57   1.22   3.11   0.54   0.95  12.57
Bobby Simmons     5.94  13.36   0.00   0.00   5.94   7.42  17.81
Lionel Simmons    4.36  12.47   0.00   1.87   4.36   6.23  13.09
Dickey Simpkins   7.38  13.85   0.00   0.00   2.77   6.00  17.54
Brian Skinner     7.31  13.35   0.00   0.00   4.13   6.68  18.75
Reggie Slater     8.00  14.86   0.00   0.00   4.00   8.00  20.00
Tamar Slay        0.00   0.00   0.00   0.00   0.00   0.00   0.00
Charles Smith     8.42  17.68   0.84   2.95   2.95   5.05  20.63
Doug Smith        0.00  16.00   0.00   0.00   0.00   0.00   0.00
Jabari Smith     16.00  16.00   0.00   0.00   0.00   0.00  32.00
Joe Smith         9.26  18.95   0.06   0.18   4.24   5.39  22.82
Kenny Smith       6.51  14.24   4.07   8.14   4.07   4.47  21.15
Michael Smith     3.52   7.05   0.00   0.00   2.35   4.55   9.39
Steve Smith       7.04  14.78   2.04   5.70   4.01   4.50  20.13
Tony Smith        4.15  10.15   1.85   5.08   0.00   0.00  10.15
Rik Smits         9.00  25.00   0.00   0.00   5.33   5.67  23.33
Eric Snow         3.79   8.75   0.00   0.44   3.65   4.67  11.23
Will Solomon      7.74  17.03   4.65  13.94   1.55   1.55  21.68
Darius Songaila   6.86  17.52   0.00   0.00   5.33   6.86  19.05
Elmore Spencer    8.73   8.73   0.00   0.00   0.00   0.00  17.45
Felton Spencer    4.76  10.34   0.00   0.00   4.14   6.62  13.66
L. Sprewell       9.19  20.08   1.86   5.13   4.34   5.08  24.59
J. Stackhouse     9.79  23.96   2.07   6.21   7.16   8.60  28.82
John Starks       7.49  19.61   2.27   7.49   1.97   2.37  19.22
V. Stepania       6.81  13.32   0.00   0.31   2.48   5.26  16.10
D. Stevenson      6.70  18.05   0.37   2.05   3.16   4.65  16.93
Larry Stewart     3.43   3.43   0.00   0.00   0.00   0.00   6.86
Michael Stewart   3.00   7.80   0.00   0.00   1.20   3.60   7.20
Bryant Stith      6.39  15.15   1.10   3.83   3.19   4.11  17.06
John Stockton     7.35  14.90   1.35   2.95   4.10   4.75  20.15
P. Stojakovic     9.29  20.06   2.94   7.09   4.71   5.56  26.23
D. Stoudamire     6.74  17.26   2.15   5.80   3.37   4.16  19.13
A. Stoudemire     7.32  14.99   0.00   0.18   5.89   8.03  20.52
E. Strickland     5.41  17.32   1.80   8.66   3.25   3.97  15.88
Mark Strickland   7.84  16.63   0.00   0.31   3.45   5.65  19.14
Rod Strickland    8.04  19.09   0.22   1.00   5.13   7.81  21.43
Derek Strong      6.61  18.43   0.00   1.04   8.00   9.39  21.22
Bruno Sundov      3.56  10.67   0.00   1.78   0.00   0.00   7.11
Bob Sura          6.15  14.05   1.33   4.00   4.92   6.36  18.56
Mike Sweetney     0.00   0.00   0.00   0.00   0.00   0.00   0.00
Stromile Swift    6.38  15.95   0.00   0.16   6.22   8.13  18.98
Brett Szabo       0.00   4.00   0.00   0.00   4.00   8.00   4.00
W. Szczerbiak     8.92  16.46   1.54   3.32   3.57   3.89  22.95
Zan Tabak         7.38  11.41   0.00   0.00   3.36   6.04  18.13
Dragan Tarlac     2.00   2.00   0.00   0.00   6.00   8.00  10.00
Johnny Taylor     9.23  16.62   1.85   7.38   0.00   0.00  20.31
Maurice Taylor    8.30  19.89   0.00   0.18   4.29   5.93  20.90
Jason Terry       8.68  20.43   2.52   7.28   4.20   5.46  24.07
Carl Thomas       0.00   0.00   0.00   0.00   0.00   0.00   0.00
Etan Thomas       0.00   7.58   0.00   0.00  10.11  10.11  10.11
Jamel Thomas      0.00   5.33   0.00   0.00   0.00   0.00   0.00
John Thomas       8.00  16.00   0.00   0.00   8.00   8.00  24.00
Kenny Thomas      5.76  12.55   0.44   1.03   5.32   7.68  17.28
Kurt Thomas      10.20  18.30   0.00   0.15   4.05   5.70  24.45
Tim Thomas        8.82  20.39   2.46   5.93   3.90   4.48  24.00
Brooks Thompson   8.23  16.46   4.11  12.34   0.00   0.00  20.57
L. Thompson       0.00   0.00   0.00   0.00   0.00   0.00   0.00
Otis Thorpe       7.95  14.22   0.00   0.00   3.21   4.28  19.11
Sedale Threatt    5.13  11.18   1.40   3.73   0.00   0.00  11.65
Jamaal Tinsley    5.71  13.74   2.11   6.13   1.90   2.96  15.44
Wayman Tisdale   13.09  25.31   0.00   0.00   2.33   2.91  28.51
Oscar Torres      3.79  11.37   0.00   3.79   0.00   0.00   7.58
Keith Tower       1.71   5.14   0.00   0.00   1.71   6.86   5.14
Robert Traylor    5.65  14.12   0.00   0.56   5.65   8.47  16.94
Gary Trent        9.20  16.13   0.13   0.50   4.66   6.55  23.18
Jeff Trepagnier   0.00   6.86   0.00   0.00   6.86   6.86   6.86
C. Trybanski      0.00   0.00   0.00   0.00   0.00   9.60   0.00
Jake Tsakalidis   6.38  13.09   0.00   0.00   7.38   8.39  20.14
N. Tskitishvili   6.71  17.55   2.06   5.16   1.55   2.06  17.03
Mirsad Turkcan    5.33  21.33   0.00   0.00   0.00   0.00  10.67
H. Turkoglu       7.47  16.00   1.68   4.11   4.27   6.40  20.88
Jeff Turner       5.05  17.68   2.53  10.11   0.00   0.00  12.63
Ime Udoka         4.36  17.45   0.00   0.00   8.73  17.45  17.45
Nick Van_Exel     8.57  20.06   2.80   7.49   1.83   2.29  21.77
Keith Van_Horn    9.60  19.50   1.33   3.99   4.14   4.73  24.66
David Vaughn      6.00  14.57   0.00   0.00   0.00   0.00  12.00
Jacque Vaughn     7.01  12.94   0.90   1.44   1.62   1.98  16.54
Loy Vaught        8.71  16.77   0.00   0.16   1.48   2.30  18.90
Vander Velden    24.00  48.00   0.00  24.00   0.00   0.00  48.00
Fred Vinson       9.60  12.80   3.20   6.40   0.00   0.00  22.40
Jake Voskuhl      4.19   7.62   0.00   0.00   1.52   4.57   9.90
S. Vrankovic      8.00  11.43   0.00   0.00   0.00   0.00  16.00
Dwyane Wade       9.60  20.40   2.40   4.80   7.20   9.60  28.80
Dajuan Wagner     4.97  24.83   0.00   6.62   3.31   3.31  13.24
Antoine Walker    8.39  21.13   1.27   4.88   3.19   5.20  21.24
Samaki Walker     5.49  11.20   0.00   0.00   2.97   4.11  13.94
Ben Wallace       4.47   8.79   0.00   0.00   2.23   4.47  11.16
Gerald Wallace   10.11  16.00   0.00   0.00   1.68   2.53  21.89
John Wallace      9.85  18.15   0.31   0.31   2.77   4.31  22.77
Rasheed Wallace   9.80  17.90   0.94   2.68   3.63   5.23  24.16
Rex Walters       3.92  10.78   2.94   5.88   3.92   5.88  18.61
Luke Walton       4.24   9.88   1.41   1.41   0.00   0.00   9.88
Charlie Ward      4.66  10.19   2.59   6.04   0.35   0.52  12.26
Eric Washington   5.73  12.90   2.15   5.01   2.15   2.15  15.76
Earl Watson       4.95  12.12   0.99   3.22   3.96   5.69  14.85
C. Weatherspoon   5.44  12.75   0.00   0.00   3.00   3.84  13.88
Spud Webb         6.22  17.78   1.78   5.33   3.56   4.44  17.78
Chris Webber     11.55  21.85   0.45   1.08   3.28   5.77  26.83
Bonzi Wells       9.71  20.54   0.37   2.33   4.30   7.00  24.09
Jiri Welsch       8.47  16.94   2.82   4.94   1.41   1.41  21.18
Bill Wennington   5.85  12.29   0.00   0.00   1.17   1.17  12.88
David Wesley      9.29  19.53   2.86   5.84   4.76   5.60  26.20
David West        6.00   8.00   0.00   0.00   8.00  12.00  20.00
Doug West         3.43  10.71   0.00   0.43   3.21   4.07  10.07
Mark West         4.17   6.26   0.00   0.00   0.00   0.00   8.35
DeJuan Wheat     10.29  24.00   3.43   6.86   0.00   0.00  24.00
Jahidi White      8.07  13.17   0.00   0.00   6.80  10.19  22.94
Rodney White     11.52  21.12   1.65   4.66   1.37   1.65  26.06
D. Whiteside      0.00  16.00   0.00  16.00   0.00   0.00   0.00
Chris Whitney     6.74  16.21   2.73   7.71   2.57   2.73  18.78
Chris Wilcox     11.08  15.23   0.00   0.00   4.15  10.62  26.31
D. Wilkins       11.48  24.00   2.43   6.26   6.26   7.30  31.65
Gerald Wilkins    8.06  21.50   1.54   5.76   1.92   3.07  19.58
Mike Wilks        7.30  19.83   1.04   3.13   2.09   4.17  17.74
Aaron Williams    5.86  11.29   0.00   0.00   3.69   5.00  15.42
Alvin Williams    7.28  17.68   0.69   2.60   1.91   2.43  17.16
Brian Williams   11.36  18.32   0.00   0.00   4.40   5.50  27.11
Buck Williams     9.42  14.89   0.30   0.30   3.34   5.16  22.48
Eric Williams     4.65  11.68   0.28   1.27   6.33   8.59  15.91
Frank Williams   12.00  28.00   4.00   4.00   0.00   0.00  28.00
Herb Williams     5.76  12.48   0.00   0.00   0.00   0.00  11.52
Jason Williams    7.32  18.58   2.31   8.75   1.83   2.17  18.78
Jay Williams      4.87  14.61   1.39   4.87   1.39   2.78  12.52
Jayson Williams   7.40  17.11   0.26   0.51   1.28   2.04  16.09
Jerome Williams   5.93  11.31   0.00   0.00   4.26   6.30  16.12
John Williams     4.36   9.12   0.00   0.00   2.98   4.17  11.70
L. Williams       4.00   8.00   0.00   0.00   0.00   0.00   8.00
M. Williams      11.00  21.00   4.00   7.00   0.00   0.00  26.00
Monty Williams    7.38  14.22   0.00   0.00   3.88   5.54  18.65
Reggie Williams   7.27  14.55   2.91   5.82   2.18   2.91  19.64
S. Williams       4.89  14.67   1.56   7.11   1.33   1.33  12.67
Scott Williams    4.49   9.54   0.00   0.00   1.40   1.40  10.39
Travis Williams   0.00  13.09   0.00   0.00   0.00   0.00   0.00
Walt Williams     8.83  18.05   2.78   7.30   2.59   3.26  23.04
C. Williamson     9.68  18.75   0.00   0.23   4.38   7.03  23.74
Kevin Willis      8.77  17.30   0.00   0.00   4.06   4.72  21.60
D. Willoughby     9.19  24.51   1.02   9.19   5.11   6.13  24.51
David Wingate     8.69  14.36   2.27   3.78   0.76   2.27  20.41
D. Wingfield      8.38  16.00   3.05   6.10   6.10   6.10  25.90
Joe Wolf          4.70   8.35   0.00   0.52   1.04   1.04  10.43
R. Wolkowyski     3.00   7.00   0.00   0.00   7.00   7.00  13.00
David Wood        0.00   5.76   0.00   0.00   5.76  11.52   5.76
Loren Woods       0.00   0.00   0.00   0.00   0.00   0.00   0.00
Qyntel Woods      5.25  14.25   0.75   2.25   3.00   4.50  14.25
H. Workman        5.33  14.22   1.78   7.11   0.00   0.00  12.44
Lorenzen Wright   7.03  15.93   0.00   0.00   3.17   4.65  17.22
Sharone Wright    9.07  19.20   0.00   0.53   6.40  10.13  24.53
V. Yarbrough      5.20  16.77   0.00   4.05   1.16   1.16  11.57
Wang Zhizhi       5.65  12.71   2.82   2.82   7.06  12.71  21.18
George Zidek     12.00  24.00   0.00   0.00  12.00  12.00  36.00
Team Totals       0.00   0.00   0.00   0.00   0.00   0.00   0.00
Mavs Totals       0.00   0.00   0.00   0.00   0.00   0.00   0.00

Player            OFF    DEF    REB    AST    TO      F     STL     BLK
M. Abdul-Rauf     0.70   2.09   2.79   6.46   2.44   2.97   1.92   0.00
T. Abdul-Wahad    3.69   3.87   7.56   2.29   3.69   6.33   2.46   0.53
S. Abdur-Rahim    4.33   7.85  12.18   3.14   4.00   3.73   1.24   0.97
Michael Adams     2.18   2.18   4.36   8.73   2.18   4.36   4.36   0.00
Rafael Addison    1.32   3.95   5.26   2.63   2.63   6.58   0.00   1.97
C. Alexander      2.22   2.95   5.17   2.95   0.74   2.95   0.74   0.00
Cory Alexander    0.40   6.74   7.14   7.34   5.36   4.56   2.98   0.40
Jerome Allen      0.00   4.17   4.17   2.09   8.35  12.52   2.09   2.09
Malik Allen       5.33   8.30  13.63   0.59   3.56   5.33   0.00   1.78
Ray Allen         1.90   4.19   6.10   5.41   2.51   2.67   1.68   0.30
Derrick Alston    8.00  20.00  28.00   0.00   0.00   4.00   0.00   0.00
Rafer Alston      1.57   2.61   4.17   4.17   1.57   4.17   2.09   0.00
John Amaechi      6.17   5.49  11.66   2.06   6.17   3.43   0.00   2.74
Ashraf Amaya      4.24   7.06  11.29   1.41   2.82   4.24   1.41   0.00
Chris Andersen    6.21  10.16  16.38   1.69   4.52   7.34   1.69   3.95
Derek Anderson    0.86   4.87   5.73   5.18   2.04   3.22   1.81   0.24
Greg Anderson     6.71   9.29  16.00   2.06   1.55   6.19   0.52   2.06
Kenny Anderson    0.98   3.82   4.80  10.87   4.41   3.23   2.74   0.29
Nick Anderson     0.62   6.62   7.23   3.54   2.92   2.46   2.77   0.77
S. Anderson       2.49   6.23   8.73   4.36   3.51   3.74   2.10   0.78
Willie Anderson   3.10   7.74  10.84   4.65   6.19   3.10   7.74   0.00
Chris Anstey     12.00  12.00  24.00   2.67   1.33   9.33   4.00   1.33
Carmelo Anthony   3.20   7.36  10.56   4.16   4.16   4.16   2.56   1.28
Greg Anthony      0.63   2.63   3.26   8.95   2.84   3.79   2.63   0.42
Gilbert Arenas    2.58   5.95   8.53   9.72   4.36   4.96   2.98   0.20
B. Armstrong      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
B.J. Armstrong    0.00   3.47   3.47   7.47   1.87   2.40   1.07   0.00
D. Armstrong      1.37   3.44   4.81   9.28   4.01   3.67   2.29   0.23
Carlos Arroyo     0.44   2.64   3.08   8.81   3.96   4.40   1.76   0.00
Ron Artest        3.49   7.44  10.94   4.25   4.56   4.71   3.49   1.82
Vincent Askew     3.76   4.71   8.47   8.00   1.88   4.24   1.88   0.47
Keith Askins      2.40   5.76   8.16   4.32   0.96   7.68   2.40   0.00
Chucky Atkins     0.35   3.00   3.35   6.88   3.35   4.06   0.71   0.00
Stacey Augmon     4.12   4.76   8.88   3.49   1.48   4.02   2.43   0.63
Stacy Augmon      3.56   1.78   5.33   1.78   3.56   0.00   0.00   0.00
Isaac Austin      2.78   8.84  11.62   4.80   5.31   3.79   1.01   1.01
Anthony Avent     7.68  10.56  18.24   1.92   5.76   8.64   1.92   0.96
William Avery     0.71   2.82   3.53   9.88   2.82   5.65   0.71   0.00
Dalibor Bagaric   0.00   5.33   5.33   3.56   7.11   8.89   8.89   5.33
Thurl Bailey      5.76   5.76  11.52   5.76   7.68  11.52   0.00   3.84
Toby Bailey       1.50   4.50   6.00   3.00   0.00   4.50   0.00   0.00
Vin Baker         4.65   6.52  11.17   3.33   2.91   3.54   0.83   1.39
Marcus Banks      0.00   2.82   2.82   8.47   0.00   0.00   2.82   0.00
Leandro Barbosa   1.33   2.00   3.33   6.00   3.33   8.00   2.00   0.00
Charles Barkley   6.61  13.32  19.92   5.47   4.34   3.30   1.24   0.72
Erick Barkley     0.00   0.00   0.00   0.00   0.00  12.00  12.00   0.00
Matt Barnes       3.00  15.00  18.00   0.00   0.00   0.00   0.00   0.00
Dana Barros       0.00   4.10   4.10   6.44   1.95   3.51   1.17   0.20
Brent Barry       0.54   6.19   6.72   6.01   2.86   4.04   2.14   0.65
Drew Barry        0.00   5.33   5.33   5.33   1.78   5.33   1.78   0.00
Jon Barry         1.99   5.02   7.01   6.66   2.34   3.85   2.10   0.00
Mengke Bateer     0.00   7.38   7.38   3.69  11.08  14.77   0.00   0.00
Mike Batiste      1.60   4.80   6.40   1.60   4.00   4.00   2.40   0.80
Tony Battie       6.28   8.38  14.66   1.40   2.79   5.59   0.87   2.44
Shane Battier     2.26   5.85   8.11   3.19   1.99   3.19   2.79   1.20
Lonny Baxter      9.14  16.00  25.14   4.57   4.57  13.71   0.00   4.57
Lonny Baxtor     10.67  16.00  26.67   0.00   5.33   2.67   0.00   0.00
Corey Beck        1.07   4.27   5.33   5.33   3.20   8.53   0.00   0.00
Raja Bell         0.98   3.59   4.57   4.57   2.61   6.53   1.96   0.00
Jonathan Bender   3.84   2.88   6.72   4.80   0.96   7.68   0.96   0.96
Benoit Benjamin   2.50   8.00  10.50   2.50   4.50   3.50   0.50   2.50
Corey Benjamin    1.92   1.92   3.84   2.88   1.92  10.56   1.92   0.00
Mario Bennett     2.18   8.73  10.91   4.36   0.00   4.36   0.00   0.00
David Benoit      1.48   5.91   7.38   0.74   2.22   7.02   1.85   1.48
Travis Best       0.56   3.52   4.08   7.04   2.39   4.79   1.83   0.42
Mike Bibby        0.97   3.66   4.63   8.34   4.11   3.71   2.06   0.29
C. Billups        0.82   2.34   3.16   9.83   2.58   3.63   1.05   0.35
Steve Blake       0.00   2.74   2.74   8.23   4.11   1.37   5.49   1.37
Mookie Blaylock   2.10   4.30   6.40   7.50   2.87   1.66   2.43   0.00
Corie Blount      3.99   9.18  13.17   2.43   3.81   6.06   1.56   0.87
Mark Blount       4.12   7.88  12.00   1.50   3.38   5.25   1.88   1.50
Keith Bogans      2.57   5.14   7.71   0.86   1.71   2.57   0.00   0.00
Muggsy Bogues     1.03   2.91   3.94   9.77   1.89   1.71   1.37   0.34
E. Bohannon       4.00  16.00  20.00   4.00   4.00   4.00   0.00   4.00
Melvin Booker     0.00   6.49   6.49   6.49   5.19   2.59   0.00   1.30
Calvin Booth      3.20   7.11  10.31   1.78   2.84   3.20   0.36   1.42
Keith Booth       0.00   0.00   0.00   4.80   4.80  14.40   0.00   0.00
Carlos Boozer     5.33  14.06  19.39   2.42   0.48   2.91   0.48   0.00
Larazo Borrell    4.17   8.35  12.52   0.00   0.00   0.00   2.09   2.09
Chris Bosh        2.63   8.55  11.18   1.97   1.32   1.32   1.32   2.63
R. Boumtje_Boumtje  0.00  48.00  48.00   0.00   0.00   0.00   0.00   0.00
Cal Bowdler       1.37   6.86   8.23   1.37   0.00   9.60   1.37   0.00
Bruce Bowen       0.57   3.58   4.15   2.64   0.94   3.49   1.60   0.75
Ryan Bowen        4.19   2.90   7.09   1.61   2.90   4.83   1.93   1.29
Anthony Bowie     0.00   2.67   2.67   2.67   2.67  10.67   0.00   0.00
Ira Bowman        0.00   0.00   0.00   0.00   0.00  12.00  12.00   0.00
Donnie Boyce      9.60   0.00   9.60   0.00   0.00   0.00   9.60   0.00
Earl Boykins      0.81   1.62   2.43   9.17   3.24   5.39   1.35   0.54
Michael Bradley   7.02  11.71  18.73   2.34   2.34   4.68   0.00   0.00
Shawn Bradley     4.59  10.02  14.61   2.09   2.92   4.17   0.83   7.10
Mark Bradtke      4.00   0.00   4.00   0.00   0.00   4.00   0.00   0.00
Marques Bragg    10.67   5.33  16.00   0.00   0.00  10.67   0.00   5.33
Torraye Braggs    0.00  10.67  10.67   0.00   5.33  10.67   0.00   0.00
Elton Brand       5.29   8.33  13.62   3.82   3.62   4.80   1.27   2.16
Terrell Brandon   1.30   4.11   5.41   9.42   2.10   2.91   2.41   0.90
Tim Breaux        1.85   5.54   7.38   3.69   5.54  11.08   0.00   1.85
J.R. Bremer       4.80   0.00   4.80   9.60   4.80   4.80   0.00   0.00
Primoz Brezec     0.00   0.00   0.00   0.00   0.00   0.00   0.00   6.86
F. Brickowski     1.66  11.59  13.24   0.00   1.66   6.62   0.00   0.00
Scott Brooks      1.66   4.97   6.62   6.62   4.97   1.66   1.66   0.00
Chucky Brown      2.52   7.76  10.27   1.68   1.26   2.10   1.26   1.05
Damone Brown      0.00   0.00   0.00   0.00   0.00  16.00   0.00   0.00
Dee Brown         0.00   4.05   4.05   2.89   1.16   6.94   3.47   0.58
Devin Brown       2.29  12.57  14.86   2.29   3.43   9.14   3.43   0.00
Gerald Brown      0.00   4.80   4.80   9.60   0.00   0.00   0.00   0.00
Kedrick Brown     0.00  14.67  14.67   1.33   0.00   2.67   1.33   0.00
Kwame Brown       4.80   6.55  11.35   3.49   3.93   4.36   2.62   1.31
P.J. Brown        4.01   7.75  11.76   2.00   2.09   4.36   1.22   1.39
Randy Brown       1.25   4.08   5.33   6.90   3.76   5.65   1.25   1.25
Tierre Brown      0.00   0.00   0.00   0.00   8.00   8.00   0.00   0.00
Rick Brunson      0.00   4.00   4.00   9.00   2.00   5.00   3.00   0.00
Kobe Bryant       1.97   6.77   8.74   6.06   4.20   4.10   2.02   0.60
Mark Bryant       5.03   7.37  12.40   2.34   3.06   6.11   1.80   0.90
Greg Buckner      1.25   4.99   6.23   1.87   1.25   4.99   2.49   0.62
Jud Buechler      3.08   5.85   8.92   2.46   0.62   3.38   2.15   0.92
Rodney Buford     1.51   5.29   6.80   2.27   0.76   2.65   1.51   0.38
Matt Bullard      1.51   4.89   6.40   2.82   1.69   4.71   0.75   0.00
Pat Burke         0.00   0.00   0.00   0.00   3.43   0.00   0.00   0.00
Scott Burrell     3.66   8.54  12.20   1.22   1.63   5.29   2.44   0.81
Junior Burrough  16.00   0.00  16.00   0.00   0.00  16.00   0.00   0.00
Willie Burton     0.00   4.36   4.36   0.00   0.00   4.36   0.00   0.00
Caron Butler      3.37   5.05   8.42   4.21   4.21   5.05   1.68   0.00
Mitchell Butler   3.49   2.62   6.11   2.62   4.36   6.11   0.87   0.87
Rasual Butler     1.75   5.24   6.98   4.36   0.87   0.87   0.87   5.24
Zarko Cabarkapa   1.85   9.23  11.08   3.08   3.08   1.85   1.23   1.85
Jason Caffey      4.48   5.98  10.46   2.33   3.82   7.31   1.16   0.33
Michael Cage      3.36   7.38  10.74   0.34   1.68   2.01   2.01   1.34
Adrian Caldwell   3.00   7.50  10.50   0.00   4.50   7.50   0.00   0.00
Marcus Camby      5.39  11.54  16.93   2.59   1.83   4.31   0.76   3.78
Elden Campbell    4.82   8.03  12.84   3.21   2.73   4.49   1.28   2.97
Brian Cardinal    3.69   6.33  10.02   2.11   4.22   7.91   1.58   1.05
Antoine Carr      1.84   5.11   6.94   1.84   3.06   7.97   0.00   2.25
Chris Carr        2.90   4.19   7.09   3.22   1.29   7.41   1.93   0.97
Cory Carr         0.00   2.59   2.59   5.19   0.00   5.19   0.00   0.00
